sample,amplicon,lwcn,classification
ABC1_LUNG,amplicon2,2079375.38094,Linear
ABC1_LUNG,amplicon3,109.497668613,Complex-non-cyclic
AU565_BREAST,amplicon1,305882266.293,Cyclic
AU565_BREAST,amplicon2,273302.516874,Complex-non-cyclic
AU565_BREAST,amplicon3,326642.193508,Complex-non-cyclic
AU565_BREAST,amplicon4,0,Linear
AU565_BREAST,amplicon5,143974.761603,Complex-non-cyclic
AU565_BREAST,amplicon6,0,Linear
AU565_BREAST,amplicon7,0,Linear
BFTC909_KIDNEY,amplicon1,999.44202052,Linear
BFTC909_KIDNEY,amplicon2,8311257.57579,Cyclic
BFTC909_KIDNEY,amplicon3,27163540.6514,Cyclic
BT20_BREAST,amplicon10,0,Linear
BT20_BREAST,amplicon11,3985130.80262,Complex-non-cyclic
BT20_BREAST,amplicon12,146223.474584,Linear
BT20_BREAST,amplicon13,0,Complex-non-cyclic
BT20_BREAST,amplicon14,6230353.7561,Cyclic
BT20_BREAST,amplicon15,0,Linear
BT20_BREAST,amplicon1,8472846.95316,Complex-non-cyclic
BT20_BREAST,amplicon2,642184.321328,Complex-non-cyclic
BT20_BREAST,amplicon3,1459503.61212,Cyclic
BT20_BREAST,amplicon4,528239.78391,Linear
BT20_BREAST,amplicon5,343.691336292,Linear
BT20_BREAST,amplicon6,0,No-FSCNA
BT20_BREAST,amplicon7,302856.705123,Cyclic
BT20_BREAST,amplicon8,0,Linear
BT20_BREAST,amplicon9,0,Linear
BT474_BREAST,amplicon10,0,Linear
BT474_BREAST,amplicon1,302813776.121,Cyclic
BT474_BREAST,amplicon2,4913.93204273,Complex-non-cyclic
BT474_BREAST,amplicon3,743404.718553,Complex-non-cyclic
BT474_BREAST,amplicon4,0,Linear
BT474_BREAST,amplicon5,2085722.41696,Cyclic
BT474_BREAST,amplicon6,4758939.62899,Cyclic
BT474_BREAST,amplicon7,0,Linear
BT474_BREAST,amplicon8,0,Linear
BT474_BREAST,amplicon9,5916139.95097,Complex-non-cyclic
BT483_BREAST,amplicon1,26928552.9332,Cyclic
C2BBE1_LARGE_INTESTINE,amplicon1,173612.537253,Complex-non-cyclic
CAL120_BREAST,amplicon1,6094567.45489,Cyclic
CAL120_BREAST,amplicon2,0,Complex-non-cyclic
CAL120_BREAST,amplicon3,0,Linear
CAL120_BREAST,amplicon4,35252589.5462,Cyclic
CAL120_BREAST,amplicon5,0,Linear
CAL120_BREAST,amplicon6,0,Linear
CAL120_BREAST,amplicon7,9032372.63674,Cyclic
CAL27_UPPER_AERODIGESTIVE_TRACT,amplicon1,0,Complex-non-cyclic
CAL27_UPPER_AERODIGESTIVE_TRACT,amplicon2,5614902.50118,Complex-non-cyclic
CAL27_UPPER_AERODIGESTIVE_TRACT,amplicon3,1759489.08098,No-FSCNA
CAL27_UPPER_AERODIGESTIVE_TRACT,amplicon4,0,Linear
CAL27_UPPER_AERODIGESTIVE_TRACT,amplicon5,0,Linear
CAL54_KIDNEY,amplicon1,0,Linear
CAL851_BREAST,amplicon1,9213802.26695,Cyclic
CAL851_BREAST,amplicon2,2066257.1105,Complex-non-cyclic
CAL851_BREAST,amplicon3,339887.071714,No-FSCNA
CALU1_LUNG,amplicon1,557080.708812,Cyclic
CALU6_LUNG,amplicon1,67985315.7477,Cyclic
CALU6_LUNG,amplicon2,0,Linear
CAMA1_BREAST,amplicon1,0,Linear
CAMA1_BREAST,amplicon2,0,Complex-non-cyclic
CAMA1_BREAST,amplicon3,14908388.3657,Complex-non-cyclic
CAOV3_OVARY,amplicon1,1203389.16395,Cyclic
CAOV3_OVARY,amplicon2,108806.364202,Cyclic
CAOV3_OVARY,amplicon3,0,Complex-non-cyclic
CAPAN1_PANCREAS,amplicon1,0,Linear
CAS1_CENTRAL_NERVOUS_SYSTEM,amplicon1,349083.689423,No-FSCNA
CCK81_LARGE_INTESTINE,amplicon1,0,No-FSCNA
CHAGOK1_LUNG,amplicon10,0,No-FSCNA
CHAGOK1_LUNG,amplicon1,0,Linear
CHAGOK1_LUNG,amplicon2,0,Linear
CHAGOK1_LUNG,amplicon3,132230.658972,Complex-non-cyclic
CHAGOK1_LUNG,amplicon4,3406687.29206,Cyclic
CHAGOK1_LUNG,amplicon5,5150985.96587,Complex-non-cyclic
CHAGOK1_LUNG,amplicon6,0,Linear
CHAGOK1_LUNG,amplicon7,1365703.49598,Linear
CHAGOK1_LUNG,amplicon8,0,Linear
CHAGOK1_LUNG,amplicon9,15709.056497,Linear
CHP212_AUTONOMIC_GANGLIA,amplicon1,127980879.978,Cyclic
COLO201_LARGE_INTESTINE,amplicon1,75410264.6682,Cyclic
COLO201_LARGE_INTESTINE,amplicon2,0,Linear
COLO201_LARGE_INTESTINE,amplicon3,382387.415676,Linear
COLO201_LARGE_INTESTINE,amplicon4,0,Complex-non-cyclic
COLO201_LARGE_INTESTINE,amplicon5,86018.2581363,Linear
COLO668_LUNG,amplicon1,76582839.1336,Cyclic
COLO829_SKIN,amplicon1,10842743.5374,Complex-non-cyclic
CORL23_LUNG,amplicon1,0,Linear
CORL23_LUNG,amplicon2,96509356.4357,Cyclic
CORL23_LUNG,amplicon3,60186126.5405,Cyclic
CORL24_LUNG,amplicon1,75378791.5683,Cyclic
CORL279_LUNG,amplicon1,32783879.0551,Cyclic
CORL311_LUNG,amplicon1,80434936.104,Cyclic
CORL311_LUNG,amplicon2,90862370.3983,Cyclic
CORL88_LUNG,amplicon1,16828826.4008,Cyclic
CORL88_LUNG,amplicon2,276881.708617,Complex-non-cyclic
CORL88_LUNG,amplicon3,13590532.3477,Cyclic
CORL88_LUNG,amplicon4,478501.404547,Cyclic
CORL88_LUNG,amplicon5,0,Complex-non-cyclic
COV362_OVARY,amplicon1,0,No-FSCNA
COV362_OVARY,amplicon2,0,Linear
COV362_OVARY,amplicon3,21163.6583536,Linear
COV362_OVARY,amplicon4,0,Linear
COV644_OVARY,amplicon1,18572362.2224,Cyclic
COV644_OVARY,amplicon2,30375426.6712,Cyclic
DANG_PANCREAS,amplicon1,0,Complex-non-cyclic
DANG_PANCREAS,amplicon2,59147047.3785,Cyclic
DANG_PANCREAS,amplicon3,1332339.43977,Cyclic
DANG_PANCREAS,amplicon4,28680173.049,Cyclic
DANG_PANCREAS,amplicon5,0,Linear
DANG_PANCREAS,amplicon6,4028740.55805,Cyclic
DANG_PANCREAS,amplicon7,0,Linear
DANG_PANCREAS,amplicon8,0,Linear
DAOY_CENTRAL_NERVOUS_SYSTEM,amplicon1,56316.5586841,Linear
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,amplicon1,0,Linear
DETROIT562_UPPER_AERODIGESTIVE_TRACT,amplicon1,0,Linear
DETROIT562_UPPER_AERODIGESTIVE_TRACT,amplicon2,56115477.7897,Cyclic
DETROIT562_UPPER_AERODIGESTIVE_TRACT,amplicon3,27406919.8609,Cyclic
DETROIT562_UPPER_AERODIGESTIVE_TRACT,amplicon4,0,Linear
DETROIT562_UPPER_AERODIGESTIVE_TRACT,amplicon5,0,Linear
DETROIT562_UPPER_AERODIGESTIVE_TRACT,amplicon6,0,Linear
DETROIT562_UPPER_AERODIGESTIVE_TRACT,amplicon7,0,Complex-non-cyclic
DMS114_LUNG,amplicon1,0,Linear
DMS114_LUNG,amplicon2,818521.969431,No-FSCNA
DMS114_LUNG,amplicon3,6752196.10694,Complex-non-cyclic
DMS114_LUNG,amplicon4,81523880.937,Cyclic
DMS114_LUNG,amplicon5,0,Linear
DMS114_LUNG,amplicon6,28918140.5169,Cyclic
DMS114_LUNG,amplicon7,0,Linear
DMS114_LUNG,amplicon8,0,No-FSCNA
DMS153_LUNG,amplicon1,0,Linear
DMS153_LUNG,amplicon2,0,Linear
DMS153_LUNG,amplicon3,0,Linear
DMS273_LUNG,amplicon1,116991706.259,Cyclic
DMS273_LUNG,amplicon2,0,Linear
DMS273_LUNG,amplicon3,53261358.3379,Cyclic
DMS454_LUNG,amplicon1,286896.983033,Linear
DMS454_LUNG,amplicon2,0,Linear
DMS454_LUNG,amplicon3,0,No-FSCNA
DMS454_LUNG,amplicon4,677409.762502,Complex-non-cyclic
DMS454_LUNG,amplicon5,0,Linear
DMS454_LUNG,amplicon6,0,No-FSCNA
DMS53_LUNG,amplicon1,0,Linear
DMS53_LUNG,amplicon2,0,No-FSCNA
DMS53_LUNG,amplicon3,0,Linear
DMS53_LUNG,amplicon4,0,Linear
DMS53_LUNG,amplicon5,0,No-FSCNA
DMS53_LUNG,amplicon6,0,Complex-non-cyclic
DMS53_LUNG,amplicon7,9309339.82482,Complex-non-cyclic
DMS79_LUNG,amplicon1,402167.81936,Linear
DU145_PROSTATE,amplicon1,0,Linear
DU145_PROSTATE,amplicon2,0,Linear
DU145_PROSTATE,amplicon3,98800.4996228,Complex-non-cyclic
DU4475_BREAST,amplicon1,279012.090662,Linear
EBC1_LUNG,amplicon10,4942.48486229,Linear
